NAME : portgen-200-1008
COMMENT : portgen N=200, seed=1008
TYPE : TSP
DIMENSION : 200
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 2906 1265
2 896 371
3 329 749
4 41 990
5 1224 188
6 2171 1097
7 3062 2157
8 2422 2259
9 443 110
10 1317 713
11 379 2096
12 2667 2624
13 2398 1493
14 2801 967
15 1650 102
16 392 310
17 2721 2719
18 1796 2221
19 789 1980
20 3022 1562
21 2054 130
22 2089 1396
23 3116 2424
24 929 1958
25 2454 1611
26 2879 922
27 961 2954
28 1276 2595
29 1706 1339
30 1738 1271
31 3123 1224
32 1130 2825
33 1296 2041
34 2171 1666
35 2204 3161
36 1329 1648
37 819 2868
38 997 2620
39 1134 2875
40 1347 2965
41 2950 1462
42 2391 378
43 141 2331
44 2342 3059
45 1423 2917
46 50 2285
47 2939 3024
48 232 406
49 2473 2383
50 399 496
51 1289 1216
52 610 2651
53 1824 1416
54 1693 582
55 2812 2108
56 253 1810
57 3078 1983
58 1221 838
59 1448 1269
60 2593 889
61 2730 2950
62 1267 1707
63 1871 112
64 1038 1330
65 1044 2743
66 926 551
67 63 2402
68 2712 1139
69 1547 408
70 2320 2466
71 882 1072
72 465 533
73 187 262
74 1018 1231
75 1152 119
76 2531 1142
77 1338 818
78 2732 737
79 1153 1371
80 3102 685
81 3032 1284
82 1425 345
83 1225 2344
84 1344 2544
85 1795 958
86 2983 216
87 117 2473
88 1521 1587
89 1611 448
90 2137 1133
91 2122 2830
92 1391 359
93 2873 2804
94 2289 2880
95 1176 368
96 2957 2165
97 1775 1362
98 2646 666
99 955 1155
100 2175 1762
101 1814 569
102 2257 18
103 1160 2863
104 2914 979
105 1108 3091
106 1610 1436
107 194 2734
108 890 867
109 2672 62
110 862 558
111 1389 189
112 369 32
113 2307 2414
114 1122 98
115 1312 1820
116 1836 632
117 2503 2209
118 2685 685
119 2635 1820
120 2632 2006
121 132 2227
122 2017 618
123 2142 2767
124 1796 1742
125 2217 231
126 2707 856
127 3005 354
128 3089 1181
129 1228 47
130 495 474
131 227 1093
132 1510 2264
133 2958 2546
134 2581 2739
135 591 1285
136 2233 929
137 1007 630
138 1014 532
139 347 14
140 106 1125
141 1185 1074
142 2765 838
143 1592 742
144 2284 238
145 2413 138
146 1267 3059
147 1228 1346
148 2935 2365
149 1219 1386
150 2766 1609
151 2420 1781
152 1636 1092
153 2209 1633
154 1253 2167
155 1924 2347
156 2059 990
157 797 356
158 2370 330
159 3028 164
160 2491 593
161 1327 1194
162 3135 2145
163 2028 451
164 2455 3078
165 1584 2544
166 2441 1343
167 1253 921
168 2228 195
169 276 2408
170 1630 1261
171 877 2120
172 909 1820
173 1974 72
174 3087 2246
175 2480 2484
176 3072 1303
177 2965 222
178 2330 1077
179 528 715
180 2026 2014
181 1356 2007
182 536 662
183 1470 3102
184 80 2139
185 1545 2298
186 406 781
187 846 7
188 683 23
189 1392 2913
190 2977 951
191 3086 1740
192 1052 2732
193 1188 434
194 806 591
195 2613 2289
196 115 1299
197 863 2494
198 855 95
199 1274 902
200 1137 1950
